Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCL","Crops and livestock products","566","Nigeria","5622","Import value","01701","Beans, dry","2020","2020","1000 USD","1691","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5910","Export quantity","01701","Beans, dry","2020","2020","t","2205.05","I","Value imputed by a receiving agency",""
"TCL","Crops and livestock products","566","Nigeria","5922","Export value","01701","Beans, dry","2020","2020","1000 USD","1665","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5610","Import quantity","01701","Beans, dry","2021","2021","t","5158.83","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5622","Import value","01701","Beans, dry","2021","2021","1000 USD","1732","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5910","Export quantity","01701","Beans, dry","2021","2021","t","2082.21","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5922","Export value","01701","Beans, dry","2021","2021","1000 USD","1320","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5610","Import quantity","01701","Beans, dry","2022","2022","t","848.52","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5622","Import value","01701","Beans, dry","2022","2022","1000 USD","512","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5910","Export quantity","01701","Beans, dry","2022","2022","t","2923.38","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5922","Export value","01701","Beans, dry","2022","2022","1000 USD","1838","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5610","Import quantity","01701","Beans, dry","2023","2023","t","3073.54","I","Value imputed by a receiving agency",""
"TCL","Crops and livestock products","566","Nigeria","5622","Import value","01701","Beans, dry","2023","2023","1000 USD","1677","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5910","Export quantity","01701","Beans, dry","2023","2023","t","2543.25","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5922","Export value","01701","Beans, dry","2023","2023","1000 USD","1406","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5610","Import quantity","01701","Beans, dry","2024","2024","t","3587.74","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5622","Import value","01701","Beans, dry","2024","2024","1000 USD","2100","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5910","Export quantity","01701","Beans, dry","2024","2024","t","2533.47","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5922","Export value","01701","Beans, dry","2024","2024","1000 USD","1304","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5610","Import quantity","0112","Maize (corn)","2000","2000","t","0.33","A","Official figure",""
"TCL","Crops and livestock products","566","Nigeria","5622","Import value","0112","Maize (corn)","2000","2000","1000 USD","0","A","Official figure",""
"TCL","Crops and livestock products","566","Nigeria","5910","Export quantity","0112","Maize (corn)","2000","2000","t","20273","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5922","Export value","0112","Maize (corn)","2000","2000","1000 USD","878","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5610","Import quantity","0112","Maize (corn)","2001","2001","t","180","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5622","Import value","0112","Maize (corn)","2001","2001","1000 USD","60","I","Value imputed by a receiving agency",""
"TCL","Crops and livestock products","566","Nigeria","5910","Export quantity","0112","Maize (corn)","2001","2001","t","5000","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5922","Export value","0112","Maize (corn)","2001","2001","1000 USD","400","I","Value imputed by a receiving agency",""
"TCL","Crops and livestock products","566","Nigeria","5610","Import quantity","0112","Maize (corn)","2002","2002","t","18105","A","Official figure",""
"TCL","Crops and livestock products","566","Nigeria","5622","Import value","0112","Maize (corn)","2002","2002","1000 USD","2525","A","Official figure",""
"TCL","Crops and livestock products","566","Nigeria","5910","Export quantity","0112","Maize (corn)","2002","2002","t","13100","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5922","Export value","0112","Maize (corn)","2002","2002","1000 USD","877","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5610","Import quantity","0112","Maize (corn)","2003","2003","t","1147","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5622","Import value","0112","Maize (corn)","2003","2003","1000 USD","239","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5910","Export quantity","0112","Maize (corn)","2003","2003","t","8500","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5922","Export value","0112","Maize (corn)","2003","2003","1000 USD","1400","I","Value imputed by a receiving agency",""
"TCL","Crops and livestock products","566","Nigeria","5610","Import quantity","0112","Maize (corn)","2004","2004","t","50","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5622","Import value","0112","Maize (corn)","2004","2004","1000 USD","18","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5910","Export quantity","0112","Maize (corn)","2004","2004","t","0","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5922","Export value","0112","Maize (corn)","2004","2004","1000 USD","0","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5610","Import quantity","0112","Maize (corn)","2005","2005","t","17668","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5622","Import value","0112","Maize (corn)","2005","2005","1000 USD","1659","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5910","Export quantity","0112","Maize (corn)","2005","2005","t","2226","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5922","Export value","0112","Maize (corn)","2005","2005","1000 USD","94","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5610","Import quantity","0112","Maize (corn)","2006","2006","t","9612","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5622","Import value","0112","Maize (corn)","2006","2006","1000 USD","1714","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5910","Export quantity","0112","Maize (corn)","2006","2006","t","3666","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5922","Export value","0112","Maize (corn)","2006","2006","1000 USD","157","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5610","Import quantity","0112","Maize (corn)","2007","2007","t","687","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5622","Import value","0112","Maize (corn)","2007","2007","1000 USD","215","A","Official figure",""
"TCL","Crops and livestock products","566","Nigeria","5910","Export quantity","0112","Maize (corn)","2007","2007","t","10416","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5922","Export value","0112","Maize (corn)","2007","2007","1000 USD","488","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5610","Import quantity","0112","Maize (corn)","2008","2008","t","49","A","Official figure",""
"TCL","Crops and livestock products","566","Nigeria","5622","Import value","0112","Maize (corn)","2008","2008","1000 USD","137","A","Official figure",""
"TCL","Crops and livestock products","566","Nigeria","5910","Export quantity","0112","Maize (corn)","2008","2008","t","1023","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5922","Export value","0112","Maize (corn)","2008","2008","1000 USD","54","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5610","Import quantity","0112","Maize (corn)","2009","2009","t","100","I","Value imputed by a receiving agency",""
"TCL","Crops and livestock products","566","Nigeria","5622","Import value","0112","Maize (corn)","2009","2009","1000 USD","110","I","Value imputed by a receiving agency",""
"TCL","Crops and livestock products","566","Nigeria","5910","Export quantity","0112","Maize (corn)","2009","2009","t","0","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5922","Export value","0112","Maize (corn)","2009","2009","1000 USD","0","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5610","Import quantity","0112","Maize (corn)","2010","2010","t","550","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5622","Import value","0112","Maize (corn)","2010","2010","1000 USD","496","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5910","Export quantity","0112","Maize (corn)","2010","2010","t","8","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5922","Export value","0112","Maize (corn)","2010","2010","1000 USD","8","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5610","Import quantity","0112","Maize (corn)","2011","2011","t","812","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5622","Import value","0112","Maize (corn)","2011","2011","1000 USD","1049","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5910","Export quantity","0112","Maize (corn)","2011","2011","t","8","E","Estimated value",""
"TCL","Crops and livestock products","566","Nigeria","5922","Export value","0112","Maize (corn)","2011","2011","1000 USD","8","E","Estimated value",""
"TCL","Crops and livestock products","566","Nigeria","5610","Import quantity","0112","Maize (corn)","2012","2012","t","1000","I","Value imputed by a receiving agency",""
"TCL","Crops and livestock products","566","Nigeria","5622","Import value","0112","Maize (corn)","2012","2012","1000 USD","1400","I","Value imputed by a receiving agency",""
"TCL","Crops and livestock products","566","Nigeria","5910","Export quantity","0112","Maize (corn)","2012","2012","t","8","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5922","Export value","0112","Maize (corn)","2012","2012","1000 USD","9","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5610","Import quantity","0112","Maize (corn)","2013","2013","t","1200","I","Value imputed by a receiving agency",""
"TCL","Crops and livestock products","566","Nigeria","5622","Import value","0112","Maize (corn)","2013","2013","1000 USD","1500","I","Value imputed by a receiving agency",""
"TCL","Crops and livestock products","566","Nigeria","5910","Export quantity","0112","Maize (corn)","2013","2013","t","7530","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5922","Export value","0112","Maize (corn)","2013","2013","1000 USD","351","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5610","Import quantity","0112","Maize (corn)","2014","2014","t","209583.27","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5622","Import value","0112","Maize (corn)","2014","2014","1000 USD","46950","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5910","Export quantity","0112","Maize (corn)","2014","2014","t","2000","E","Estimated value",""
"TCL","Crops and livestock products","566","Nigeria","5922","Export value","0112","Maize (corn)","2014","2014","1000 USD","502","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5610","Import quantity","0112","Maize (corn)","2015","2015","t","76025.87","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5622","Import value","0112","Maize (corn)","2015","2015","1000 USD","13965","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5910","Export quantity","0112","Maize (corn)","2015","2015","t","6205.16","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5922","Export value","0112","Maize (corn)","2015","2015","1000 USD","1295","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5610","Import quantity","0112","Maize (corn)","2016","2016","t","215265.74","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5622","Import value","0112","Maize (corn)","2016","2016","1000 USD","42949","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5910","Export quantity","0112","Maize (corn)","2016","2016","t","3205.06","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5922","Export value","0112","Maize (corn)","2016","2016","1000 USD","800","E","Estimated value",""
"TCL","Crops and livestock products","566","Nigeria","5610","Import quantity","0112","Maize (corn)","2017","2017","t","638097.21","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5622","Import value","0112","Maize (corn)","2017","2017","1000 USD","114479","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5910","Export quantity","0112","Maize (corn)","2017","2017","t","4000","E","Estimated value",""
"TCL","Crops and livestock products","566","Nigeria","5922","Export value","0112","Maize (corn)","2017","2017","1000 USD","1000","E","Estimated value",""
"TCL","Crops and livestock products","566","Nigeria","5610","Import quantity","0112","Maize (corn)","2018","2018","t","200000","E","Estimated value",""
"TCL","Crops and livestock products","566","Nigeria","5622","Import value","0112","Maize (corn)","2018","2018","1000 USD","45000","E","Estimated value",""
"TCL","Crops and livestock products","566","Nigeria","5910","Export quantity","0112","Maize (corn)","2018","2018","t","4770","E","Estimated value",""
"TCL","Crops and livestock products","566","Nigeria","5922","Export value","0112","Maize (corn)","2018","2018","1000 USD","2971","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5610","Import quantity","0112","Maize (corn)","2019","2019","t","200000","E","Estimated value",""
"TCL","Crops and livestock products","566","Nigeria","5622","Import value","0112","Maize (corn)","2019","2019","1000 USD","45000","E","Estimated value",""
"TCL","Crops and livestock products","566","Nigeria","5910","Export quantity","0112","Maize (corn)","2019","2019","t","25856.55","I","Value imputed by a receiving agency",""
"TCL","Crops and livestock products","566","Nigeria","5922","Export value","0112","Maize (corn)","2019","2019","1000 USD","4168","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5610","Import quantity","0112","Maize (corn)","2020","2020","t","279927.16","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5622","Import value","0112","Maize (corn)","2020","2020","1000 USD","54687","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5910","Export quantity","0112","Maize (corn)","2020","2020","t","4750.94","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5922","Export value","0112","Maize (corn)","2020","2020","1000 USD","268","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5610","Import quantity","0112","Maize (corn)","2021","2021","t","196626","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5622","Import value","0112","Maize (corn)","2021","2021","1000 USD","51829","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5910","Export quantity","0112","Maize (corn)","2021","2021","t","210.8","A","Official figure",""
"TCL","Crops and livestock products","566","Nigeria","5922","Export value","0112","Maize (corn)","2021","2021","1000 USD","169","A","Official figure",""
"TCL","Crops and livestock products","566","Nigeria","5610","Import quantity","0112","Maize (corn)","2022","2022","t","206584","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5622","Import value","0112","Maize (corn)","2022","2022","1000 USD","62799","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5910","Export quantity","0112","Maize (corn)","2022","2022","t","3556.97","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5922","Export value","0112","Maize (corn)","2022","2022","1000 USD","251","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5610","Import quantity","0112","Maize (corn)","2023","2023","t","100000","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5622","Import value","0112","Maize (corn)","2023","2023","1000 USD","25433","E","Estimated value",""
"TCL","Crops and livestock products","566","Nigeria","5910","Export quantity","0112","Maize (corn)","2023","2023","t","1523.36","I","Value imputed by a receiving agency",""
"TCL","Crops and livestock products","566","Nigeria","5922","Export value","0112","Maize (corn)","2023","2023","1000 USD","185","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5610","Import quantity","0112","Maize (corn)","2024","2024","t","125000","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5622","Import value","0112","Maize (corn)","2024","2024","1000 USD","23375","E","Estimated value",""
"TCL","Crops and livestock products","566","Nigeria","5910","Export quantity","0112","Maize (corn)","2024","2024","t","10955.94","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5922","Export value","0112","Maize (corn)","2024","2024","1000 USD","621","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5610","Import quantity","0113","Rice","2000","2000","t","278.85","A","Official figure",""
"TCL","Crops and livestock products","566","Nigeria","5622","Import value","0113","Rice","2000","2000","1000 USD","3764","A","Official figure",""
"TCL","Crops and livestock products","566","Nigeria","5610","Import quantity","0113","Rice","2001","2001","t","0","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5622","Import value","0113","Rice","2001","2001","1000 USD","0","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5910","Export quantity","0113","Rice","2001","2001","t","18601","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5922","Export value","0113","Rice","2001","2001","1000 USD","3720","I","Value imputed by a receiving agency",""
"TCL","Crops and livestock products","566","Nigeria","5610","Import quantity","0113","Rice","2002","2002","t","16","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5622","Import value","0113","Rice","2002","2002","1000 USD","2","A","Official figure",""
"TCL","Crops and livestock products","566","Nigeria","5910","Export quantity","0113","Rice","2002","2002","t","4007","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5922","Export value","0113","Rice","2002","2002","1000 USD","1163","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5610","Import quantity","0113","Rice","2003","2003","t","0","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5622","Import value","0113","Rice","2003","2003","1000 USD","0","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5910","Export quantity","0113","Rice","2003","2003","t","1","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5922","Export value","0113","Rice","2003","2003","1000 USD","1","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5610","Import quantity","0113","Rice","2004","2004","t","12","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5622","Import value","0113","Rice","2004","2004","1000 USD","36","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","566","Nigeria","5910","Export quantity","0113","Rice","2004","2004","t","1","E","Estimated value",""
"TCL","Crops and livestock products","566","Nigeria","5922","Export value","0113","Rice","2004","2004","1000 USD","1","E","Estimated value",""
