state,date,pms_price
Abia,2023-05-01,236.25
Abia,2023-06-01,552.73
Abia,2023-07-01,643.12
Abia,2023-08-01,631.33
Abia,2023-09-01,630.64
Abia,2023-10-01,621.25
Abia,2023-11-01,654.36
Abia,2023-12-01,690.53
Abia,2024-01-01,687.5
Abia,2024-02-01,688.62
Abia,2024-03-01,710.83
Abia,2024-04-01,706.0
Abia,2024-05-01,770.0
Abia,2024-06-01,794.91
Abia,2024-07-01,797.42
Abia,2024-08-01,887.72
Abia,2024-09-01,1009.0
Abia,2024-10-01,1278.12
Adamawa,2017-03-01,153.3
Adamawa,2017-04-01,157.0
Adamawa,2017-05-01,160.0
Adamawa,2017-06-01,162.5
Adamawa,2017-07-01,160.0
Adamawa,2017-08-01,144.0
Adamawa,2017-09-01,143.0
Adamawa,2017-10-01,146.67
Adamawa,2017-11-01,145.0
Adamawa,2017-12-01,170.0
Adamawa,2018-01-01,170.0
Adamawa,2018-02-01,150.0
Adamawa,2018-03-01,173.0
Adamawa,2018-04-01,160.33
Adamawa,2018-05-01,150.11
Adamawa,2018-06-01,145.0
Adamawa,2018-07-01,145.29
Adamawa,2018-08-01,148.33
Adamawa,2018-09-01,150.0
Adamawa,2018-10-01,150.83
Adamawa,2018-11-01,149.33
Adamawa,2018-12-01,145.0
Adamawa,2019-01-01,145.0
Adamawa,2019-02-01,143.78
Adamawa,2019-03-01,145.14
Adamawa,2019-04-01,146.6
Adamawa,2019-05-01,145.44
Adamawa,2019-06-01,155.68
Adamawa,2019-07-01,154.96
Adamawa,2019-08-01,143.13
Adamawa,2019-09-01,152.31
Adamawa,2019-10-01,144.75
Adamawa,2019-11-01,153.24
Adamawa,2019-12-01,163.17
Adamawa,2020-01-01,154.3
Adamawa,2020-02-01,134.93
Adamawa,2020-03-01,77.6
Adamawa,2020-04-01,44.56
Adamawa,2020-05-01,71.22
Adamawa,2020-06-01,97.62
Adamawa,2020-07-01,104.82
Adamawa,2020-08-01,108.46
Adamawa,2020-09-01,99.18
Adamawa,2020-10-01,97.43
Adamawa,2020-11-01,103.49
Adamawa,2020-12-01,121.19
Adamawa,2021-01-01,132.77
Adamawa,2021-02-01,150.98
Adamawa,2021-03-01,158.57
Adamawa,2021-04-01,157.11
Adamawa,2021-05-01,166.13
Adamawa,2021-06-01,177.36
Adamawa,2021-07-01,182.23
Adamawa,2021-08-01,171.51
Adamawa,2021-09-01,166.4
Adamawa,2021-10-01,167.08
Adamawa,2021-12-01,165.65
Adamawa,2022-01-01,159.89
Adamawa,2022-02-01,169.0
Adamawa,2022-03-01,176.62
Adamawa,2022-04-01,165.29
Adamawa,2022-05-01,166.4
Adamawa,2022-06-01,190.67
Adamawa,2022-07-01,207.57
Adamawa,2022-08-01,179.0
Adamawa,2022-09-01,189.17
Adamawa,2022-10-01,200.33
Adamawa,2022-11-01,205.4
Adamawa,2022-12-01,164.44
Adamawa,2023-01-01,260.5
Adamawa,2023-02-01,202.5
Adamawa,2023-03-01,305.33
Adamawa,2023-04-01,291.25
Adamawa,2023-05-01,238.89
Adamawa,2023-06-01,551.25
Adamawa,2023-07-01,630.0
Adamawa,2023-08-01,594.81
Adamawa,2023-09-01,621.43
Adamawa,2023-10-01,615.71
Adamawa,2023-11-01,638.38
Adamawa,2023-12-01,745.71
Adamawa,2024-01-01,671.4
Adamawa,2024-02-01,680.42
Adamawa,2024-03-01,735.0
Adamawa,2024-04-01,741.67
Adamawa,2024-05-01,798.6
Adamawa,2024-06-01,741.67
Adamawa,2024-07-01,809.73
Adamawa,2024-08-01,879.56
Adamawa,2024-09-01,1082.5
Adamawa,2024-10-01,1210.92
Borno,2017-03-01,151.0
Borno,2017-04-01,160.5
Borno,2017-05-01,160.0
Borno,2017-06-01,152.9
Borno,2017-07-01,160.5
Borno,2017-08-01,144.5
Borno,2017-09-01,144.4
Borno,2017-10-01,145.23
Borno,2017-11-01,147.0
Borno,2017-12-01,159.44
Borno,2018-01-01,185.48
Borno,2018-02-01,200.29
Borno,2018-03-01,169.55
Borno,2018-04-01,160.0
Borno,2018-05-01,166.08
Borno,2018-06-01,162.17
Borno,2018-07-01,155.0
Borno,2018-08-01,157.0
Borno,2018-09-01,147.0
Borno,2018-10-01,152.17
Borno,2018-11-01,152.92
Borno,2018-12-01,149.5
Borno,2019-01-01,145.63
Borno,2019-02-01,145.89
Borno,2019-03-01,146.27
Borno,2019-04-01,146.82
Borno,2019-05-01,144.36
Borno,2019-06-01,155.68
Borno,2019-07-01,154.96
Borno,2019-08-01,143.13
Borno,2019-09-01,152.31
Borno,2019-10-01,144.75
Borno,2019-11-01,153.24
Borno,2019-12-01,163.17
Borno,2020-01-01,154.3
Borno,2020-02-01,134.93
Borno,2020-03-01,77.6
Borno,2020-04-01,44.56
Borno,2020-05-01,71.22
Borno,2020-06-01,97.62
Borno,2020-07-01,104.82
Borno,2020-08-01,108.46
Borno,2020-09-01,99.18
Borno,2020-10-01,97.43
Borno,2020-11-01,103.49
Borno,2020-12-01,121.19
Borno,2021-01-01,132.77
Borno,2021-02-01,150.98
Borno,2021-03-01,158.57
Borno,2021-04-01,157.11
Borno,2021-05-01,166.13
Borno,2021-06-01,177.36
Borno,2021-07-01,182.23
Borno,2021-08-01,171.51
Borno,2021-09-01,164.0
Borno,2021-10-01,165.18
Borno,2021-12-01,165.77
Borno,2022-01-01,155.82
Borno,2022-02-01,170.0
Borno,2022-03-01,184.18
Borno,2022-04-01,165.86
Borno,2022-05-01,167.42
Borno,2022-06-01,190.33
Borno,2022-07-01,185.38
Borno,2022-08-01,179.18
Borno,2022-09-01,184.5
Borno,2022-10-01,192.3
Borno,2022-11-01,193.18
Borno,2022-12-01,165.75
Borno,2023-01-01,193.91
Borno,2023-02-01,232.33
Borno,2023-03-01,324.55
Borno,2023-04-01,289.09
Borno,2023-05-01,248.18
Borno,2023-06-01,557.14
Borno,2023-07-01,657.27
Borno,2023-08-01,657.27
Borno,2023-09-01,657.37
Borno,2023-10-01,657.27
Borno,2023-11-01,625.75
Borno,2023-12-01,622.71
Borno,2024-01-01,657.27
Borno,2024-02-01,680.22
Borno,2024-03-01,721.75
Borno,2024-04-01,743.91
Borno,2024-05-01,800.32
Borno,2024-06-01,743.91
Borno,2024-07-01,829.46
Borno,2024-08-01,893.29
Borno,2024-09-01,1004.09
Borno,2024-10-01,1283.79
Gombe,2017-03-01,145.0
Gombe,2017-04-01,153.0
Gombe,2017-05-01,172.5
Gombe,2017-06-01,167.5
Gombe,2017-07-01,152.7
Gombe,2017-08-01,144.0
Gombe,2017-09-01,145.0
Gombe,2017-10-01,144.8
Gombe,2017-11-01,145.0
Gombe,2017-12-01,160.0
Gombe,2018-01-01,157.73
Gombe,2018-02-01,153.5
Gombe,2018-03-01,154.13
Gombe,2018-04-01,154.43
Gombe,2018-05-01,153.67
Gombe,2018-06-01,150.25
Gombe,2018-07-01,142.79
Gombe,2018-08-01,147.08
Gombe,2018-09-01,150.1
Gombe,2018-10-01,151.25
Gombe,2018-11-01,154.72
Gombe,2018-12-01,150.2
Gombe,2019-01-01,145.87
Gombe,2019-02-01,144.63
Gombe,2019-03-01,145.92
Gombe,2019-04-01,145.58
Gombe,2019-05-01,141.08
Gombe,2019-06-01,155.68
Gombe,2019-07-01,154.96
Gombe,2019-08-01,143.13
Gombe,2019-09-01,152.31
Gombe,2019-10-01,144.75
Gombe,2019-11-01,153.24
Gombe,2019-12-01,163.17
Gombe,2020-01-01,154.3
Gombe,2020-02-01,134.93
Gombe,2020-03-01,77.6
Gombe,2020-04-01,44.56
Gombe,2020-05-01,71.22
Gombe,2020-06-01,97.62
Gombe,2020-07-01,104.82
Gombe,2020-08-01,108.46
Gombe,2020-09-01,99.18
Gombe,2020-10-01,97.43
Gombe,2020-11-01,103.49
Gombe,2020-12-01,121.19
Gombe,2021-01-01,132.77
Gombe,2021-02-01,150.98
Gombe,2021-03-01,158.57
Gombe,2021-04-01,157.11
Gombe,2021-05-01,166.13
Gombe,2021-06-01,177.36
Gombe,2021-07-01,182.23
Gombe,2021-08-01,171.51
Gombe,2021-09-01,164.4
Gombe,2021-10-01,164.67
Gombe,2021-12-01,165.93
Gombe,2022-01-01,164.71
Gombe,2022-02-01,170.5
Gombe,2022-03-01,171.4
Gombe,2022-04-01,169.75
Gombe,2022-05-01,166.5
Gombe,2022-06-01,185.0
Gombe,2022-07-01,190.78
Gombe,2022-08-01,179.12
Gombe,2022-09-01,188.82
Gombe,2022-10-01,210.0
Gombe,2022-11-01,215.0
Gombe,2022-12-01,165.93
Gombe,2023-01-01,220.0
Gombe,2023-02-01,256.1
Gombe,2023-03-01,302.0
Gombe,2023-04-01,300.51
Gombe,2023-05-01,299.77
Gombe,2023-06-01,560.83
Gombe,2023-07-01,642.22
Gombe,2023-08-01,633.5
Gombe,2023-09-01,630.0
Gombe,2023-10-01,658.33
Gombe,2023-11-01,625.12
Gombe,2023-12-01,703.0
Gombe,2024-01-01,703.0
Gombe,2024-02-01,710.0
Gombe,2024-03-01,719.33
Gombe,2024-04-01,717.0
Gombe,2024-05-01,766.54
Gombe,2024-06-01,727.14
Gombe,2024-07-01,809.15
Gombe,2024-08-01,925.0
Gombe,2024-09-01,990.0
Gombe,2024-10-01,1232.8
Jigawa,2017-03-01,148.3
Jigawa,2017-04-01,146.0
Jigawa,2017-05-01,147.3
Jigawa,2017-06-01,145.8
Jigawa,2017-07-01,145.7
Jigawa,2017-08-01,143.9
Jigawa,2017-09-01,145.2
Jigawa,2017-10-01,143.8
Jigawa,2017-11-01,145.5
Jigawa,2017-12-01,165.0
Jigawa,2018-01-01,200.26
Jigawa,2018-02-01,150.14
Jigawa,2018-03-01,180.93
Jigawa,2018-04-01,160.46
Jigawa,2018-05-01,154.0
Jigawa,2018-06-01,146.29
Jigawa,2018-07-01,146.29
Jigawa,2018-08-01,145.25
Jigawa,2018-09-01,150.0
Jigawa,2018-10-01,144.29
Jigawa,2018-11-01,144.29
Jigawa,2018-12-01,144.21
Jigawa,2019-01-01,145.69
Jigawa,2019-02-01,145.29
Jigawa,2019-03-01,144.94
Jigawa,2019-04-01,145.0
Jigawa,2019-05-01,145.0
Jigawa,2019-06-01,155.68
Jigawa,2019-07-01,154.96
Jigawa,2019-08-01,143.13
Jigawa,2019-09-01,152.31
Jigawa,2019-10-01,144.75
Jigawa,2019-11-01,153.24
Jigawa,2019-12-01,163.17
Jigawa,2020-01-01,154.3
Jigawa,2020-02-01,134.93
Jigawa,2020-03-01,77.6
Jigawa,2020-04-01,44.56
Jigawa,2020-05-01,71.22
Jigawa,2020-06-01,97.62
Jigawa,2020-07-01,104.82
Jigawa,2020-08-01,108.46
Jigawa,2020-09-01,99.18
Jigawa,2020-10-01,97.43
Jigawa,2020-11-01,103.49
Jigawa,2020-12-01,121.19
Jigawa,2021-01-01,132.77
Jigawa,2021-02-01,150.98
Jigawa,2021-03-01,158.57
Jigawa,2021-04-01,157.11
Jigawa,2021-05-01,166.13
Jigawa,2021-06-01,177.36
Jigawa,2021-07-01,182.23
Jigawa,2021-08-01,171.51
Jigawa,2021-09-01,166.5
Jigawa,2021-10-01,164.86
Jigawa,2021-12-01,168.8
Jigawa,2022-01-01,165.0
Jigawa,2022-02-01,165.0
Jigawa,2022-03-01,165.71
Jigawa,2022-04-01,169.06
Jigawa,2022-05-01,176.43
Jigawa,2022-06-01,170.0
Jigawa,2022-07-01,192.33
Jigawa,2022-08-01,210.5
Jigawa,2022-09-01,205.62
Jigawa,2022-10-01,205.77
Jigawa,2022-11-01,210.25
Jigawa,2022-12-01,168.8
Jigawa,2023-01-01,281.43
Jigawa,2023-02-01,281.07
Jigawa,2023-03-01,316.67
Jigawa,2023-04-01,305.0
Jigawa,2023-05-01,297.5
Jigawa,2023-06-01,556.67
Jigawa,2023-07-01,625.8
Jigawa,2023-08-01,619.0
Jigawa,2023-09-01,617.42
Jigawa,2023-10-01,627.5
Jigawa,2023-11-01,677.67
Jigawa,2023-12-01,682.0
Jigawa,2024-01-01,679.67
Jigawa,2024-02-01,696.43
Jigawa,2024-03-01,708.33
Jigawa,2024-04-01,711.54
Jigawa,2024-05-01,937.5
Jigawa,2024-06-01,847.0
Jigawa,2024-07-01,903.08
Jigawa,2024-08-01,902.67
Jigawa,2024-09-01,1063.33
Jigawa,2024-10-01,1288.18
Kaduna,2017-03-01,153.0
Kaduna,2017-04-01,145.0
Kaduna,2017-05-01,148.7
Kaduna,2017-06-01,148.8
Kaduna,2017-07-01,145.0
Kaduna,2017-08-01,144.8
Kaduna,2017-09-01,145.5
Kaduna,2017-10-01,144.83
Kaduna,2017-11-01,145.0
Kaduna,2017-12-01,162.81
Kaduna,2018-01-01,215.91
Kaduna,2018-02-01,165.86
Kaduna,2018-03-01,147.29
Kaduna,2018-04-01,153.85
Kaduna,2018-05-01,150.81
Kaduna,2018-06-01,150.75
Kaduna,2018-07-01,150.75
Kaduna,2018-08-01,151.48
Kaduna,2018-09-01,150.53
Kaduna,2018-10-01,150.75
Kaduna,2018-11-01,156.75
Kaduna,2018-12-01,145.25
Kaduna,2019-01-01,146.22
Kaduna,2019-02-01,146.08
Kaduna,2019-03-01,144.44
Kaduna,2019-04-01,144.69
Kaduna,2019-05-01,144.8
Kaduna,2019-06-01,155.68
Kaduna,2019-07-01,154.96
Kaduna,2019-08-01,143.13
Kaduna,2019-09-01,152.31
Kaduna,2019-10-01,144.75
Kaduna,2019-11-01,153.24
Kaduna,2019-12-01,163.17
Kaduna,2020-01-01,154.3
Kaduna,2020-02-01,134.93
Kaduna,2020-03-01,77.6
Kaduna,2020-04-01,44.56
Kaduna,2020-05-01,71.22
Kaduna,2020-06-01,97.62
Kaduna,2020-07-01,104.82
Kaduna,2020-08-01,108.46
Kaduna,2020-09-01,99.18
Kaduna,2020-10-01,97.43
Kaduna,2020-11-01,103.49
Kaduna,2020-12-01,121.19
Kaduna,2021-01-01,132.77
Kaduna,2021-02-01,150.98
Kaduna,2021-03-01,158.57
Kaduna,2021-04-01,157.11
Kaduna,2021-05-01,166.13
Kaduna,2021-06-01,177.36
Kaduna,2021-07-01,182.23
Kaduna,2021-08-01,171.51
Kaduna,2021-09-01,165.34
Kaduna,2021-10-01,170.1
Kaduna,2021-12-01,164.92
Kaduna,2022-01-01,165.53
Kaduna,2022-02-01,189.09
Kaduna,2022-03-01,208.6
Kaduna,2022-04-01,202.94
Kaduna,2022-05-01,183.25
Kaduna,2022-06-01,190.8
Kaduna,2022-07-01,193.0
Kaduna,2022-08-01,210.94
Kaduna,2022-09-01,199.62
Kaduna,2022-10-01,189.23
Kaduna,2022-11-01,198.5
Kaduna,2022-12-01,164.92
Kaduna,2023-01-01,281.07
Kaduna,2023-02-01,286.36
Kaduna,2023-03-01,288.93
Kaduna,2023-04-01,262.31
Kaduna,2023-05-01,280.0
Kaduna,2023-06-01,549.53
Kaduna,2023-07-01,626.75
Kaduna,2023-08-01,622.47
Kaduna,2023-09-01,620.4
Kaduna,2023-10-01,642.86
Kaduna,2023-11-01,620.29
Kaduna,2023-12-01,673.67
Kaduna,2024-01-01,640.0
Kaduna,2024-02-01,678.42
Kaduna,2024-03-01,683.93
Kaduna,2024-04-01,699.64
Kaduna,2024-05-01,815.94
Kaduna,2024-06-01,709.58
Kaduna,2024-07-01,763.0
Kaduna,2024-08-01,887.06
Kaduna,2024-09-01,1074.62
Kaduna,2024-10-01,1163.7
Kano,2017-03-01,145.0
Kano,2017-04-01,148.0
Kano,2017-05-01,145.4
Kano,2017-06-01,145.3
Kano,2017-07-01,145.0
Kano,2017-08-01,144.2
Kano,2017-09-01,144.6
Kano,2017-10-01,144.27
Kano,2017-11-01,144.93
Kano,2017-12-01,165.0
Kano,2018-01-01,182.14
Kano,2018-02-01,155.0
Kano,2018-03-01,147.19
Kano,2018-04-01,145.16
Kano,2018-05-01,144.87
Kano,2018-06-01,145.79
Kano,2018-07-01,144.78
Kano,2018-08-01,144.89
Kano,2018-09-01,144.87
Kano,2018-10-01,145.79
Kano,2018-11-01,147.79
Kano,2018-12-01,144.87
Kano,2019-01-01,145.0
Kano,2019-02-01,145.0
Kano,2019-03-01,145.21
Kano,2019-04-01,145.35
Kano,2019-05-01,145.35
Kano,2019-06-01,155.68
Kano,2019-07-01,154.96
Kano,2019-08-01,143.13
Kano,2019-09-01,152.31
Kano,2019-10-01,144.75
Kano,2019-11-01,153.24
Kano,2019-12-01,163.17
Kano,2020-01-01,154.3
Kano,2020-02-01,134.93
Kano,2020-03-01,77.6
Kano,2020-04-01,44.56
Kano,2020-05-01,71.22
Kano,2020-06-01,97.62
Kano,2020-07-01,104.82
Kano,2020-08-01,108.46
Kano,2020-09-01,99.18
Kano,2020-10-01,97.43
Kano,2020-11-01,103.49
Kano,2020-12-01,121.19
Kano,2021-01-01,132.77
Kano,2021-02-01,150.98
Kano,2021-03-01,158.57
Kano,2021-04-01,157.11
Kano,2021-05-01,166.13
Kano,2021-06-01,177.36
Kano,2021-07-01,182.23
Kano,2021-08-01,171.51
Kano,2021-09-01,160.83
Kano,2021-10-01,168.87
Kano,2021-12-01,163.57
Kano,2022-01-01,171.67
Kano,2022-02-01,175.56
Kano,2022-03-01,181.67
Kano,2022-04-01,171.56
Kano,2022-05-01,175.0
Kano,2022-06-01,183.57
Kano,2022-07-01,196.71
Kano,2022-08-01,200.29
Kano,2022-09-01,207.5
Kano,2022-10-01,210.14
Kano,2022-11-01,205.08
Kano,2022-12-01,163.57
Kano,2023-01-01,286.36
Kano,2023-02-01,246.11
Kano,2023-03-01,290.42
Kano,2023-04-01,273.33
Kano,2023-05-01,229.32
Kano,2023-06-01,561.82
Kano,2023-07-01,621.55
Kano,2023-08-01,627.0
Kano,2023-09-01,625.0
Kano,2023-10-01,642.73
Kano,2023-11-01,668.64
Kano,2023-12-01,602.78
Kano,2024-01-01,678.27
Kano,2024-02-01,675.0
Kano,2024-03-01,685.71
Kano,2024-04-01,700.0
Kano,2024-05-01,792.86
Kano,2024-06-01,715.45
Kano,2024-07-01,755.36
Kano,2024-08-01,881.43
Kano,2024-09-01,1051.2
Kano,2024-10-01,1170.83
Katsina,2017-03-01,145.9
Katsina,2017-04-01,146.0
Katsina,2017-05-01,145.0
Katsina,2017-06-01,150.3
Katsina,2017-07-01,145.0
Katsina,2017-08-01,144.4
Katsina,2017-09-01,144.1
Katsina,2017-10-01,143.73
Katsina,2017-11-01,144.08
Katsina,2017-12-01,160.0
Katsina,2018-01-01,209.32
Katsina,2018-02-01,160.15
Katsina,2018-03-01,156.67
Katsina,2018-04-01,147.83
Katsina,2018-05-01,144.82
Katsina,2018-06-01,144.95
Katsina,2018-07-01,144.0
Katsina,2018-08-01,144.08
Katsina,2018-09-01,143.63
Katsina,2018-10-01,144.45
Katsina,2018-11-01,144.45
Katsina,2018-12-01,144.31
Katsina,2019-01-01,145.0
Katsina,2019-02-01,145.0
Katsina,2019-03-01,145.23
Katsina,2019-04-01,143.5
Katsina,2019-05-01,142.5
Katsina,2019-06-01,155.68
Katsina,2019-07-01,154.96
Katsina,2019-08-01,143.13
Katsina,2019-09-01,152.31
Katsina,2019-10-01,144.75
Katsina,2019-11-01,153.24
Katsina,2019-12-01,163.17
Katsina,2020-01-01,154.3
Katsina,2020-02-01,134.93
Katsina,2020-03-01,77.6
Katsina,2020-04-01,44.56
Katsina,2020-05-01,71.22
Katsina,2020-06-01,97.62
Katsina,2020-07-01,104.82
Katsina,2020-08-01,108.46
Katsina,2020-09-01,99.18
Katsina,2020-10-01,97.43
Katsina,2020-11-01,103.49
Katsina,2020-12-01,121.19
Katsina,2021-01-01,132.77
Katsina,2021-02-01,150.98
Katsina,2021-03-01,158.57
Katsina,2021-04-01,157.11
Katsina,2021-05-01,166.13
Katsina,2021-06-01,177.36
Katsina,2021-07-01,182.23
Katsina,2021-08-01,171.51
Katsina,2021-09-01,162.68
Katsina,2021-10-01,164.29
Katsina,2021-12-01,163.57
Katsina,2022-01-01,165.31
Katsina,2022-02-01,166.9
Katsina,2022-03-01,170.14
Katsina,2022-04-01,165.25
Katsina,2022-05-01,178.08
Katsina,2022-06-01,180.7
Katsina,2022-07-01,186.75
Katsina,2022-08-01,190.56
Katsina,2022-09-01,192.03
Katsina,2022-10-01,195.52
Katsina,2022-11-01,198.18
Katsina,2022-12-01,165.0
Katsina,2023-01-01,246.11
Katsina,2023-02-01,270.88
Katsina,2023-03-01,306.25
Katsina,2023-04-01,295.44
Katsina,2023-05-01,254.29
Katsina,2023-06-01,546.67
Katsina,2023-07-01,604.55
Katsina,2023-08-01,619.1
Katsina,2023-09-01,626.75
Katsina,2023-10-01,639.82
Katsina,2023-11-01,667.14
Katsina,2023-12-01,665.0
Katsina,2024-01-01,680.4
Katsina,2024-02-01,680.0
Katsina,2024-03-01,694.17
Katsina,2024-04-01,697.73
Katsina,2024-05-01,782.22
Katsina,2024-06-01,742.5
Katsina,2024-07-01,950.0
Katsina,2024-08-01,781.25
Katsina,2024-09-01,1096.15
Katsina,2024-10-01,1100.0
Kebbi,2017-03-01,153.8
Kebbi,2017-04-01,161.0
Kebbi,2017-05-01,157.9
Kebbi,2017-06-01,157.1
Kebbi,2017-07-01,145.0
Kebbi,2017-08-01,145.0
Kebbi,2017-09-01,145.6
Kebbi,2017-10-01,148.55
Kebbi,2017-11-01,145.0
Kebbi,2017-12-01,210.08
Kebbi,2018-01-01,181.33
Kebbi,2018-02-01,200.25
Kebbi,2018-03-01,177.65
Kebbi,2018-04-01,163.71
Kebbi,2018-05-01,152.22
Kebbi,2018-06-01,158.24
Kebbi,2018-07-01,148.42
Kebbi,2018-08-01,152.94
Kebbi,2018-09-01,150.0
Kebbi,2018-10-01,155.24
Kebbi,2018-11-01,158.24
Kebbi,2018-12-01,146.15
Kebbi,2019-01-01,146.0
Kebbi,2019-02-01,145.56
Kebbi,2019-03-01,146.75
Kebbi,2019-04-01,147.07
Kebbi,2019-05-01,146.0
Kebbi,2019-06-01,155.68
Kebbi,2019-07-01,154.96
Kebbi,2019-08-01,143.13
Kebbi,2019-09-01,152.31
Kebbi,2019-10-01,144.75
Kebbi,2019-11-01,153.24
Kebbi,2019-12-01,163.17
Kebbi,2020-01-01,154.3
Kebbi,2020-02-01,134.93
Kebbi,2020-03-01,77.6
Kebbi,2020-04-01,44.56
Kebbi,2020-05-01,71.22
Kebbi,2020-06-01,97.62
Kebbi,2020-07-01,104.82
Kebbi,2020-08-01,108.46
Kebbi,2020-09-01,99.18
Kebbi,2020-10-01,97.43
Kebbi,2020-11-01,103.49
Kebbi,2020-12-01,121.19
Kebbi,2021-01-01,132.77
Kebbi,2021-02-01,150.98
Kebbi,2021-03-01,158.57
Kebbi,2021-04-01,157.11
Kebbi,2021-05-01,166.13
Kebbi,2021-06-01,177.36
Kebbi,2021-07-01,182.23
Kebbi,2021-08-01,171.51
Kebbi,2021-09-01,164.86
Kebbi,2021-10-01,165.22
Kebbi,2021-12-01,163.0
Kebbi,2022-01-01,176.11
Kebbi,2022-02-01,180.0
Kebbi,2022-03-01,194.17
Kebbi,2022-04-01,168.88
Kebbi,2022-05-01,170.0
Kebbi,2022-06-01,165.33
Kebbi,2022-07-01,200.11
Kebbi,2022-08-01,205.14
Kebbi,2022-09-01,203.08
Kebbi,2022-10-01,211.0
Kebbi,2022-11-01,208.0
Kebbi,2022-12-01,164.4
Kebbi,2023-01-01,270.88
Kebbi,2023-02-01,191.43
Kebbi,2023-03-01,261.17
Kebbi,2023-04-01,247.2
Kebbi,2023-05-01,286.4
Kebbi,2023-06-01,545.56
Kebbi,2023-07-01,628.75
Kebbi,2023-08-01,621.88
Kebbi,2023-09-01,625.11
Kebbi,2023-10-01,628.33
Kebbi,2023-11-01,691.0
Kebbi,2023-12-01,715.62
Kebbi,2024-01-01,796.67
Kebbi,2024-02-01,746.67
Kebbi,2024-03-01,727.2
Kebbi,2024-04-01,722.86
Kebbi,2024-05-01,880.0
Kebbi,2024-06-01,742.31
Kebbi,2024-07-01,822.14
Kebbi,2024-08-01,808.67
Kebbi,2024-09-01,986.67
Kebbi,2024-10-01,1189.25
Lagos,2017-03-01,147.5
Lagos,2017-04-01,148.0
Lagos,2017-05-01,145.0
Lagos,2017-06-01,145.7
Lagos,2017-07-01,145.3
Lagos,2017-08-01,143.3
Lagos,2017-09-01,143.2
Lagos,2017-10-01,144.33
Lagos,2017-11-01,144.33
Lagos,2017-12-01,149.87
Lagos,2018-01-01,161.43
Lagos,2018-02-01,145.0
Lagos,2018-03-01,155.25
Lagos,2018-04-01,148.1
Lagos,2018-05-01,145.81
Lagos,2018-06-01,144.91
Lagos,2018-07-01,145.81
Lagos,2018-08-01,145.0
Lagos,2018-09-01,147.38
Lagos,2018-10-01,145.0
Lagos,2018-11-01,145.05
Lagos,2018-12-01,145.0
Lagos,2019-01-01,144.87
Lagos,2019-02-01,144.88
Lagos,2019-03-01,145.0
Lagos,2019-04-01,145.0
Lagos,2019-05-01,144.9
Lagos,2019-06-01,155.68
Lagos,2019-07-01,154.96
Lagos,2019-08-01,143.13
Lagos,2019-09-01,152.31
Lagos,2019-10-01,144.75
Lagos,2019-11-01,153.24
Lagos,2019-12-01,163.17
Lagos,2020-01-01,154.3
Lagos,2020-02-01,134.93
Lagos,2020-03-01,77.6
Lagos,2020-04-01,44.56
Lagos,2020-05-01,71.22
Lagos,2020-06-01,97.62
Lagos,2020-07-01,104.82
Lagos,2020-08-01,108.46
Lagos,2020-09-01,99.18
Lagos,2020-10-01,97.43
Lagos,2020-11-01,103.49
Lagos,2020-12-01,121.19
Lagos,2021-01-01,132.77
Lagos,2021-02-01,150.98
