state,date,total_events,conflict_score,fatalities
Gombe,2017-06-01,3,15,2
Gombe,2017-07-01,2,2,0
Gombe,2018-03-01,1,4,0
Gombe,2018-04-01,1,1,0
Gombe,2018-05-01,1,3,1
Gombe,2018-07-01,1,4,1
Gombe,2019-02-01,3,3,0
Gombe,2019-03-01,1,1,0
Gombe,2019-04-01,2,7,10
Gombe,2019-08-01,1,5,2
Gombe,2019-09-01,2,4,3
Gombe,2019-11-01,1,1,0
Gombe,2020-02-01,1,1,0
Gombe,2020-05-01,2,2,0
Gombe,2020-06-01,1,5,0
Gombe,2020-07-01,2,6,3
Gombe,2020-10-01,2,5,0
Gombe,2021-01-01,1,1,0
Gombe,2021-02-01,1,3,4
Gombe,2021-04-01,2,10,13
Gombe,2021-05-01,1,5,1
Gombe,2021-06-01,1,1,0
Gombe,2021-07-01,2,6,0
Gombe,2021-09-01,1,3,0
Gombe,2021-10-01,1,4,1
Gombe,2021-12-01,1,4,8
Gombe,2022-01-01,4,11,0
Gombe,2022-02-01,2,6,1
Gombe,2022-03-01,2,6,0
Gombe,2022-04-01,2,4,3
Gombe,2022-05-01,3,12,2
Gombe,2022-06-01,1,1,0
Gombe,2022-08-01,2,8,3
Gombe,2022-09-01,2,2,0
Gombe,2022-10-01,3,5,0
Gombe,2022-11-01,2,7,2
Gombe,2022-12-01,4,13,3
Gombe,2023-01-01,1,1,0
Gombe,2023-02-01,5,18,1
Gombe,2023-03-01,2,7,1
Gombe,2023-07-01,1,1,0
Gombe,2023-10-01,4,10,1
Gombe,2023-11-01,1,4,0
Gombe,2024-02-01,1,1,0
Gombe,2024-05-01,1,1,0
Gombe,2024-06-01,1,3,0
Gombe,2024-07-01,4,8,3
Gombe,2024-09-01,1,1,0
Gombe,2024-12-01,3,11,3
Jigawa,2017-02-01,1,3,1
Jigawa,2017-03-01,3,11,0
Jigawa,2017-04-01,2,4,0
Jigawa,2017-08-01,1,3,1
Jigawa,2017-12-01,1,3,0
Jigawa,2018-02-01,2,7,3
Jigawa,2018-05-01,1,3,0
Jigawa,2018-08-01,2,4,2
Jigawa,2018-12-01,1,3,0
Jigawa,2019-01-01,2,4,0
Jigawa,2019-03-01,1,4,0
Jigawa,2019-04-01,3,9,2
Jigawa,2019-06-01,1,4,1
Jigawa,2019-07-01,1,1,0
Jigawa,2019-08-01,2,9,1
Jigawa,2019-09-01,1,1,0
Jigawa,2019-10-01,3,10,0
Jigawa,2019-11-01,3,15,2
Jigawa,2020-01-01,3,11,0
Jigawa,2020-02-01,1,3,1
Jigawa,2020-04-01,1,3,1
Jigawa,2020-05-01,3,10,3
Jigawa,2020-06-01,3,15,7
Jigawa,2020-07-01,1,5,2
Jigawa,2020-08-01,1,4,0
Jigawa,2020-09-01,3,13,3
Jigawa,2020-10-01,7,29,3
Jigawa,2020-11-01,1,4,1
Jigawa,2020-12-01,3,15,3
Jigawa,2021-02-01,1,3,1
Jigawa,2021-03-01,1,4,1
Jigawa,2021-04-01,1,4,0
Jigawa,2021-05-01,1,3,0
Jigawa,2021-06-01,1,4,0
Jigawa,2021-07-01,4,17,1
Jigawa,2021-08-01,1,3,1
Jigawa,2021-09-01,3,10,0
Jigawa,2021-11-01,2,9,3
Jigawa,2021-12-01,2,10,2
Jigawa,2022-01-01,2,10,3
Jigawa,2022-02-01,1,1,0
Jigawa,2022-03-01,3,13,3
Jigawa,2022-04-01,1,4,1
Jigawa,2022-05-01,2,9,2
Jigawa,2022-06-01,1,4,0
Jigawa,2022-07-01,3,8,4
Jigawa,2022-08-01,1,5,1
Jigawa,2022-09-01,1,4,0
Jigawa,2022-10-01,3,12,1
Jigawa,2022-11-01,4,13,2
Jigawa,2022-12-01,2,8,0
Jigawa,2023-02-01,1,3,1
Jigawa,2023-04-01,1,5,0
Jigawa,2023-05-01,1,5,0
Jigawa,2023-06-01,1,1,0
Jigawa,2023-08-01,2,4,1
Jigawa,2023-09-01,2,6,0
Jigawa,2023-10-01,1,4,0
Jigawa,2023-11-01,1,4,0
Jigawa,2023-12-01,1,1,0
Jigawa,2024-01-01,1,3,1
Jigawa,2024-02-01,2,2,0
Jigawa,2024-03-01,1,4,3
Jigawa,2024-05-01,1,4,0
Jigawa,2024-06-01,5,22,8
Jigawa,2024-07-01,14,20,2
Jigawa,2024-08-01,2,4,0
Jigawa,2024-09-01,1,5,1
Jigawa,2024-11-01,1,5,0
Jigawa,2024-12-01,4,17,9
Kaduna,2017-01-01,10,34,19
Kaduna,2017-02-01,5,17,25
Kaduna,2017-03-01,4,16,22
Kaduna,2017-04-01,6,10,0
Kaduna,2017-05-01,7,19,5
Kaduna,2017-06-01,3,6,1
Kaduna,2017-07-01,7,21,32
Kaduna,2017-08-01,5,7,0
Kaduna,2017-09-01,2,9,2
Kaduna,2017-10-01,3,8,10
Kaduna,2017-11-01,4,10,0
Kaduna,2017-12-01,7,22,12
Kaduna,2018-01-01,10,34,22
Kaduna,2018-02-01,5,22,17
Kaduna,2018-03-01,10,37,35
Kaduna,2018-04-01,6,13,10
Kaduna,2018-05-01,13,35,81
Kaduna,2018-06-01,7,22,12
Kaduna,2018-07-01,8,31,13
Kaduna,2018-08-01,8,28,16
Kaduna,2018-09-01,4,13,0
Kaduna,2018-10-01,12,42,73
Kaduna,2018-11-01,4,14,4
Kaduna,2018-12-01,1,4,14
Kaduna,2019-01-01,1,4,3
Kaduna,2019-02-01,15,52,122
Kaduna,2019-03-01,13,54,152
Kaduna,2019-04-01,10,36,40
Kaduna,2019-05-01,11,37,20
Kaduna,2019-06-01,5,17,4
Kaduna,2019-07-01,12,45,35
Kaduna,2019-08-01,12,42,14
Kaduna,2019-09-01,10,29,17
Kaduna,2019-10-01,21,83,19
Kaduna,2019-11-01,14,50,21
Kaduna,2019-12-01,3,12,4
Kaduna,2020-01-01,17,64,52
Kaduna,2020-02-01,17,68,133
Kaduna,2020-03-01,22,89,76
Kaduna,2020-04-01,19,81,33
Kaduna,2020-05-01,33,137,164
Kaduna,2020-06-01,10,38,14
Kaduna,2020-07-01,24,93,111
Kaduna,2020-08-01,29,109,126
Kaduna,2020-09-01,25,94,21
Kaduna,2020-10-01,23,78,47
Kaduna,2020-11-01,33,151,53
Kaduna,2020-12-01,28,115,94
Kaduna,2021-01-01,73,305,166
Kaduna,2021-02-01,60,261,207
Kaduna,2021-03-01,48,202,83
Kaduna,2021-04-01,34,146,67
Kaduna,2021-05-01,43,155,87
Kaduna,2021-06-01,26,96,17
Kaduna,2021-07-01,38,132,114
Kaduna,2021-08-01,31,125,61
Kaduna,2021-09-01,35,137,178
Kaduna,2021-10-01,27,111,116
Kaduna,2021-11-01,24,102,40
Kaduna,2021-12-01,38,145,85
Kaduna,2022-01-01,42,167,99
Kaduna,2022-02-01,36,139,89
Kaduna,2022-03-01,56,203,258
Kaduna,2022-04-01,36,136,109
Kaduna,2022-05-01,18,67,23
Kaduna,2022-06-01,26,98,63
Kaduna,2022-07-01,30,113,40
Kaduna,2022-08-01,33,147,75
Kaduna,2022-09-01,33,145,101
Kaduna,2022-10-01,27,105,56
Kaduna,2022-11-01,34,152,57
Kaduna,2022-12-01,54,234,110
Kaduna,2023-01-01,20,88,30
Kaduna,2023-02-01,18,81,21
Kaduna,2023-03-01,24,95,52
Kaduna,2023-04-01,27,101,92
Kaduna,2023-05-01,21,79,27
Kaduna,2023-06-01,12,42,16
Kaduna,2023-07-01,10,32,4
Kaduna,2023-08-01,17,65,21
Kaduna,2023-09-01,22,81,22
Kaduna,2023-10-01,24,91,24
Kaduna,2023-11-01,26,107,43
Kaduna,2023-12-01,34,141,205
Kaduna,2024-01-01,23,83,46
Kaduna,2024-02-01,30,113,53
Kaduna,2024-03-01,40,148,46
Kaduna,2024-04-01,24,98,76
Kaduna,2024-05-01,43,179,97
Kaduna,2024-06-01,50,206,135
Kaduna,2024-07-01,36,140,47
Kaduna,2024-08-01,69,251,97
Kaduna,2024-09-01,31,130,69
Kaduna,2024-10-01,14,52,12
Kaduna,2024-11-01,23,95,93
Kaduna,2024-12-01,24,95,36
Kano,2017-01-01,2,4,0
Kano,2017-02-01,1,1,0
Kano,2017-04-01,2,2,0
Kano,2017-06-01,2,6,4
Kano,2017-07-01,2,6,1
Kano,2017-08-01,1,1,0
Kano,2017-09-01,1,1,0
Kano,2017-10-01,1,1,0
Kano,2017-11-01,5,12,3
Kano,2018-01-01,1,3,0
Kano,2018-04-01,3,9,1
Kano,2018-05-01,2,4,0
Kano,2018-07-01,1,1,0
Kano,2018-10-01,1,1,0
Kano,2018-12-01,1,4,1
Kano,2019-01-01,1,1,0
Kano,2019-02-01,4,8,5
Kano,2019-03-01,7,20,1
Kano,2019-04-01,1,1,0
Kano,2019-06-01,2,7,2
Kano,2019-07-01,1,1,0
Kano,2019-08-01,1,1,0
Kano,2019-09-01,1,1,0
Kano,2019-10-01,1,4,0
Kano,2019-11-01,4,4,0
Kano,2020-01-01,1,4,0
Kano,2020-02-01,5,13,5
Kano,2020-03-01,1,4,0
Kano,2020-06-01,2,2,0
Kano,2020-07-01,3,8,0
Kano,2020-08-01,2,5,0
Kano,2020-09-01,2,2,0
Kano,2020-10-01,7,12,2
Kano,2020-11-01,4,15,5
Kano,2020-12-01,4,12,1
Kano,2021-01-01,1,4,1
Kano,2021-02-01,3,8,1
Kano,2021-03-01,3,3,0
Kano,2021-04-01,1,3,0
Kano,2021-05-01,4,13,0
Kano,2021-06-01,1,1,0
Kano,2021-07-01,2,6,2
Kano,2021-08-01,1,1,0
Kano,2021-09-01,3,5,1
Kano,2021-10-01,3,12,0
Kano,2021-11-01,3,8,0
Kano,2021-12-01,4,6,0
Kano,2022-01-01,4,9,0
Kano,2022-02-01,2,2,0
Kano,2022-03-01,1,3,1
Kano,2022-04-01,5,17,3
Kano,2022-05-01,6,25,17
Kano,2022-06-01,3,6,0
Kano,2022-07-01,4,9,0
Kano,2022-08-01,2,8,0
Kano,2022-09-01,1,4,2
Kano,2022-10-01,7,20,1
Kano,2022-11-01,6,22,2
Kano,2022-12-01,3,8,0
Kano,2023-01-01,4,13,1
Kano,2023-02-01,9,24,20
Kano,2023-03-01,18,30,3
Kano,2023-04-01,8,26,8
Kano,2023-05-01,3,8,1
Kano,2023-06-01,1,1,0
Kano,2023-07-01,3,5,0
Kano,2023-08-01,5,10,0
Kano,2023-09-01,3,3,0
Kano,2023-10-01,6,12,3
Kano,2023-11-01,7,16,1
Kano,2023-12-01,2,4,0
Kano,2024-01-01,2,4,0
Kano,2024-02-01,5,5,0
Kano,2024-03-01,1,1,0
Kano,2024-04-01,3,8,1
Kano,2024-05-01,8,10,0
Kano,2024-06-01,9,19,3
Kano,2024-07-01,8,19,3
Kano,2024-08-01,16,28,8
Kano,2024-10-01,1,1,0
Kano,2024-11-01,1,1,0
Kano,2024-12-01,2,5,0
Katsina,2017-01-01,1,1,0
Katsina,2017-04-01,1,3,0
Katsina,2017-05-01,1,1,0
Katsina,2017-06-01,3,9,3
Katsina,2017-07-01,1,5,2
Katsina,2017-09-01,1,3,3
Katsina,2017-11-01,1,4,1
Katsina,2018-01-01,1,4,0
Katsina,2018-02-01,1,4,0
Katsina,2018-03-01,2,2,0
Katsina,2018-10-01,1,3,0
Katsina,2018-11-01,5,22,14
Katsina,2019-01-01,5,23,18
Katsina,2019-02-01,7,29,18
Katsina,2019-03-01,4,15,1
Katsina,2019-04-01,11,49,83
Katsina,2019-05-01,14,54,67
Katsina,2019-06-01,13,50,36
Katsina,2019-07-01,18,78,41
Katsina,2019-08-01,7,30,4
Katsina,2019-09-01,7,24,10
Katsina,2019-10-01,2,2,0
Katsina,2019-11-01,1,5,2
Katsina,2019-12-01,7,25,2
Katsina,2020-01-01,6,27,7
Katsina,2020-02-01,4,17,37
Katsina,2020-03-01,5,22,26
Katsina,2020-04-01,12,51,80
Katsina,2020-05-01,35,150,262
Katsina,2020-06-01,39,152,120
Katsina,2020-07-01,20,91,95
Katsina,2020-08-01,24,104,53
Katsina,2020-09-01,32,140,55
Katsina,2020-10-01,17,72,90
Katsina,2020-11-01,17,73,139
Katsina,2020-12-01,30,125,71
Katsina,2021-01-01,13,60,70
Katsina,2021-02-01,13,58,14
Katsina,2021-03-01,9,37,21
Katsina,2021-04-01,18,77,70
Katsina,2021-05-01,16,76,31
Katsina,2021-06-01,10,43,11
Katsina,2021-07-01,15,63,32
Katsina,2021-08-01,23,95,70
Katsina,2021-09-01,13,49,42
Katsina,2021-10-01,15,60,35
Katsina,2021-11-01,9,39,32
Katsina,2021-12-01,5,19,9
Katsina,2022-01-01,32,130,169
Katsina,2022-02-01,16,72,102
Katsina,2022-03-01,18,70,57
Katsina,2022-04-01,14,63,14
Katsina,2022-05-01,12,40,24
Katsina,2022-06-01,10,40,8
Katsina,2022-07-01,36,151,105
Katsina,2022-08-01,21,89,28
Katsina,2022-09-01,22,95,38
Katsina,2022-10-01,32,131,30
Katsina,2022-11-01,17,60,11
Katsina,2022-12-01,30,123,20
Katsina,2023-01-01,24,94,116
Katsina,2023-02-01,12,41,10
Katsina,2023-03-01,18,71,31
Katsina,2023-04-01,4,20,8
Katsina,2023-05-01,11,40,5
Katsina,2023-06-01,21,95,41
Katsina,2023-07-01,37,142,53
Katsina,2023-08-01,39,160,24
Katsina,2023-09-01,17,58,9
Katsina,2023-10-01,16,68,32
Katsina,2023-11-01,26,111,46
Katsina,2023-12-01,29,125,80
Katsina,2024-01-01,30,131,89
Katsina,2024-02-01,45,189,136
Katsina,2024-03-01,42,174,115
Katsina,2024-04-01,20,83,136
Katsina,2024-05-01,20,92,134
Katsina,2024-06-01,27,106,221
Katsina,2024-07-01,30,122,60
Katsina,2024-08-01,72,286,53
Katsina,2024-09-01,44,180,97
Katsina,2024-10-01,33,144,44
Katsina,2024-11-01,49,189,111
Katsina,2024-12-01,48,199,86
Kebbi,2017-03-01,1,5,0
Kebbi,2017-11-01,2,6,1
Kebbi,2017-12-01,2,9,3
Kebbi,2018-01-01,3,13,8
Kebbi,2018-07-01,2,8,2
Kebbi,2019-05-01,1,5,0
Kebbi,2019-06-01,1,4,1
Kebbi,2019-08-01,2,2,0
Kebbi,2019-09-01,2,5,0
Kebbi,2019-10-01,3,11,1
Kebbi,2019-12-01,1,4,2
Kebbi,2020-03-01,1,4,7
Kebbi,2020-04-01,1,4,1
Kebbi,2020-06-01,3,9,1
Kebbi,2020-07-01,1,4,1
Kebbi,2020-08-01,1,4,0
Kebbi,2020-09-01,2,8,1
Kebbi,2020-10-01,1,4,0
Kebbi,2020-11-01,2,8,0
Kebbi,2021-02-01,2,6,1
Kebbi,2021-03-01,2,8,3
Kebbi,2021-04-01,3,11,20
Kebbi,2021-05-01,1,4,88
Kebbi,2021-06-01,4,14,1
Kebbi,2021-07-01,1,5,7
Kebbi,2021-09-01,1,4,5
Kebbi,2022-01-01,2,9,22
Kebbi,2022-02-01,12,46,41
Kebbi,2022-03-01,11,44,124
Kebbi,2022-04-01,1,4,2
Kebbi,2022-05-01,1,1,0
Kebbi,2022-06-01,2,9,53
Kebbi,2022-08-01,5,21,10
Kebbi,2022-09-01,3,9,1
Kebbi,2022-10-01,2,9,5
Kebbi,2022-11-01,3,10,0
Kebbi,2022-12-01,8,24,6
Kebbi,2023-01-01,1,5,4
Kebbi,2023-02-01,1,4,0
Kebbi,2023-03-01,1,4,0
Kebbi,2023-04-01,6,28,78
Kebbi,2023-05-01,3,14,5
Kebbi,2023-07-01,1,1,0
Kebbi,2023-08-01,3,15,2
Kebbi,2023-09-01,8,31,31
Kebbi,2023-10-01,9,35,8
Kebbi,2023-11-01,6,30,10
Kebbi,2024-01-01,4,19,7
Kebbi,2024-02-01,3,13,1
Kebbi,2024-03-01,2,4,1
Kebbi,2024-04-01,2,8,7
Kebbi,2024-05-01,1,1,0
Kebbi,2024-06-01,3,13,2
Kebbi,2024-07-01,4,8,2
Kebbi,2024-08-01,1,4,2
Kebbi,2024-09-01,2,8,1
Kebbi,2024-10-01,6,24,2
Kebbi,2024-11-01,5,22,23
Kebbi,2024-12-01,6,23,2
Lagos,2017-01-01,8,19,4
Lagos,2017-02-01,14,29,7
Lagos,2017-03-01,9,16,0
Lagos,2017-04-01,12,33,13
Lagos,2017-05-01,12,26,9
Lagos,2017-06-01,12,18,2
Lagos,2017-07-01,6,8,0
Lagos,2017-08-01,10,20,4
Lagos,2017-09-01,8,14,0
Lagos,2017-10-01,2,2,0
Lagos,2017-11-01,9,15,2
Lagos,2017-12-01,14,14,0
Lagos,2018-01-01,9,20,2
Lagos,2018-02-01,5,12,2
Lagos,2018-03-01,10,23,16
Lagos,2018-04-01,3,10,1
Lagos,2018-05-01,13,30,7
Lagos,2018-06-01,7,20,1
Lagos,2018-07-01,6,9,1
Lagos,2018-08-01,8,13,4
Lagos,2018-09-01,3,6,0
Lagos,2018-10-01,5,11,0
Lagos,2018-11-01,2,6,1
Lagos,2018-12-01,13,34,2
Lagos,2019-01-01,8,19,3
Lagos,2019-02-01,12,33,3
Lagos,2019-03-01,15,41,9
Lagos,2019-04-01,10,29,7
Lagos,2019-05-01,9,13,2
Lagos,2019-06-01,10,27,8
Lagos,2019-07-01,12,21,13
Lagos,2019-08-01,10,25,3
Lagos,2019-09-01,9,12,1
Lagos,2019-10-01,12,26,1
Lagos,2019-11-01,15,47,5
Lagos,2019-12-01,16,48,7
Lagos,2020-01-01,19,36,21
Lagos,2020-02-01,14,32,9
Lagos,2020-03-01,14,29,4
Lagos,2020-04-01,15,35,5
Lagos,2020-05-01,16,48,9
Lagos,2020-06-01,10,21,4
Lagos,2020-07-01,7,18,1
Lagos,2020-08-01,19,36,2
Lagos,2020-09-01,13,23,1
Lagos,2020-10-01,58,100,43
Lagos,2020-11-01,19,57,6
Lagos,2020-12-01,4,17,3
Lagos,2021-01-01,16,55,12
Lagos,2021-02-01,18,61,7
Lagos,2021-03-01,15,41,2
Lagos,2021-04-01,10,31,6
Lagos,2021-05-01,25,70,10
Lagos,2021-06-01,13,31,13
Lagos,2021-07-01,18,68,19
Lagos,2021-08-01,9,24,6
Lagos,2021-09-01,10,38,5
