commodity,state,date,horizon,actual,predicted,error_pct
Yam,Adamawa,2024-11-01,3,2274.0750000000007,913.3672592697061,59.83565804691112
Beans (white),Borno,2023-06-01,1,1286.397692307692,1909.4128426630725,48.4309909820922
Beans (white),Borno,2023-07-01,2,1319.0744444444445,1890.8074846787467,43.343500637304786
Beans (white),Borno,2023-08-01,3,1446.4724999999994,2228.792638150889,54.08468796682205
Beans (white),Borno,2023-09-01,1,1572.6158333333337,1202.3568662484236,23.544145953313038
Beans (white),Borno,2023-10-01,2,1678.5514285714285,1318.2381754075504,21.465726163095955
Beans (white),Borno,2023-11-01,3,1630.4885714285715,1277.3821481896714,21.65647950108119
Beans (white),Borno,2023-12-01,1,1700.0,1453.9387205490543,14.474192908879157
Beans (white),Borno,2024-01-01,2,2440.7499999999995,1416.0694541946027,41.98219997154141
Beans (white),Borno,2024-02-01,3,2342.8600000000006,1472.3807382237621,37.15455732635489
Beans (white),Borno,2024-03-01,1,2871.0750000000003,2560.624555676356,10.813038472476135
Beans (white),Borno,2024-05-01,2,4396.665999999999,2039.061970805131,53.62254101618974
Beans (white),Borno,2024-06-01,3,4589.321000000001,1881.1345341321662,59.01061324470077
Beans (white),Borno,2024-08-01,1,5766.66666666667,3168.554427514228,45.05396946507122
Beans (white),Borno,2024-09-01,2,5646.187499999998,4901.494869931541,13.189300391962849
Beans (white),Borno,2024-10-01,3,3921.4593749999963,3856.3114557005224,1.6613182254240217
Rice (imported),Borno,2023-06-01,1,2744.9670000000015,1817.8290967741277,33.77592164954527
Rice (imported),Borno,2023-07-01,2,2603.514000000001,1886.9602261813875,27.522562729396245
Rice (imported),Borno,2023-08-01,3,2930.3366666666675,1915.9496859034361,34.61673848954436
Rice (imported),Borno,2023-09-01,1,2952.9439999999995,2564.7759587513456,13.145120301931021
Rice (imported),Borno,2023-10-01,2,3093.2541666666675,3227.7082884277006,4.346688455476087
Rice (imported),Borno,2023-11-01,3,3031.558,3119.1628326751875,2.889762711951659
Rice (imported),Borno,2023-12-01,1,3499.9999999999977,3480.684152269274,0.5518813637349665
Rice (imported),Borno,2024-01-01,2,5220.111818181815,2934.368572321256,43.787246815274
Rice (imported),Borno,2024-02-01,3,3993.4480000000026,3252.249905177563,18.560354230791013
Rice (imported),Borno,2024-03-01,1,4593.807500000003,4524.578776593334,1.507000966119474
Rice (imported),Borno,2024-04-01,2,4222.220000000004,4462.412336954267,5.688768869321414
Rice (imported),Borno,2024-05-01,3,4501.124285714285,4425.477779846131,1.680613577106544
Rice (imported),Borno,2024-06-01,1,5037.205999999998,5137.538582838063,1.9918300509859006
Rice (imported),Borno,2024-08-01,2,6000.000000000005,4863.90551675952,18.934908054008066
Rice (imported),Borno,2024-09-01,3,6173.19555555556,6358.368089648039,2.999622034099239
Rice (imported),Borno,2024-10-01,1,5926.145000000003,5548.817247778214,6.367170432410772
Rice (imported),Borno,2024-11-01,2,6358.422857142857,7451.589461093123,17.19241749897518
Rice (imported),Borno,2024-12-01,3,5861.655454545459,7597.465523737598,29.612966552752496
Rice (local),Borno,2023-06-01,1,1927.3335714285724,1142.3011747841117,40.731527135833645
Rice (local),Borno,2023-07-01,2,1921.9807142857146,1180.5042829777817,38.57876542655608
Rice (local),Borno,2023-08-01,3,2114.1124999999997,1163.4081688959143,44.969429540958
Rice (local),Borno,2023-09-01,1,2404.4308333333333,2058.137960975865,14.402280471399223
Rice (local),Borno,2023-10-01,2,2293.820909090908,2173.5861372995387,5.241680870326582
Rice (local),Borno,2023-11-01,3,2161.4399999999996,2007.1548806436492,7.1380708859071
Rice (local),Borno,2024-01-01,1,3366.1845454545464,2178.3135584348397,35.288350088343265
Rice (local),Borno,2024-02-01,2,3042.081666666666,2037.2216390139704,33.031987229776185
Rice (local),Borno,2024-03-01,3,3326.0399999999972,2138.5064369042047,35.70412752389609
Rice (local),Borno,2024-04-01,1,3066.67,2648.6938945164675,13.629640798766498
Rice (local),Borno,2024-05-01,2,3594.340000000002,2717.9015310861114,24.38384985599276
Rice (local),Borno,2024-06-01,3,3691.9762499999993,2719.225635628438,26.347694256472032
Rice (local),Borno,2024-08-01,1,4625.0,3335.9010297128425,27.87241016837097
Rice (local),Borno,2024-09-01,2,4804.675,4239.502285809834,11.762974898201573
Rice (local),Borno,2024-10-01,3,4671.804285714288,3508.4308529781897,24.902015615113175
Tomatoes,Borno,2023-06-01,1,134.37499999999994,96.72567582786353,28.01810170949688
Tomatoes,Borno,2023-07-01,2,160.4663636363636,110.4380463308627,31.176824956830945
Tomatoes,Borno,2023-08-01,3,173.89090909090908,111.9324289000767,35.630660921118576
Tomatoes,Borno,2023-09-01,1,125.61875000000002,141.2092711853931,12.410982584521088
Tomatoes,Borno,2023-10-01,2,142.11230769230775,119.89787279053368,15.631605215975597
Tomatoes,Borno,2023-11-01,3,152.17444444444442,151.32770679929678,0.5564256523090293
Tomatoes,Borno,2023-12-01,1,200.0,155.32618183844895,22.336909080775527
Tomatoes,Borno,2024-01-01,2,185.41625,141.38352694767684,23.748038832800873
Tomatoes,Borno,2024-02-01,3,166.16000000000003,86.19622118124553,48.12456597180698
Tomatoes,Borno,2024-03-01,1,198.84799999999996,131.8792700871493,33.678352265474466
Tomatoes,Borno,2024-05-01,2,157.82000000000005,142.1576461066985,9.924188248195119
Tomatoes,Borno,2024-06-01,3,543.4100000000002,169.7212406452321,68.7673689028115
Tomatoes,Borno,2024-08-01,1,200.0,335.97339831129966,67.98669915564983
Tomatoes,Borno,2024-09-01,2,265.8145454545454,341.7674733454936,28.573653770928143
Tomatoes,Borno,2024-10-01,3,223.12533333333323,315.29551674609957,41.308703962839886
Yam,Borno,2023-06-01,1,1365.8058333333333,1950.8378278739021,42.83419943468554
Yam,Borno,2023-07-01,2,1429.5699999999997,1919.950182679699,34.30263524554233
Yam,Borno,2023-08-01,3,1907.1915384615381,1878.4454972616381,1.5072445855694376
Yam,Borno,2023-09-01,1,1591.0829999999999,1562.4107326883063,1.8020598115681918
Yam,Borno,2023-10-01,2,1585.0269230769222,1454.8870042344527,8.210580965390568
Yam,Borno,2023-11-01,3,1733.3193333333334,1578.191528375854,8.949753341708494
Yam,Borno,2023-12-01,1,2674.999999999999,1484.1126299596435,44.519154020200226
Yam,Borno,2024-01-01,2,2155.3377777777782,1843.523639960202,14.467065952839492
Yam,Borno,2024-02-01,3,2032.166249999999,1734.5253734054402,14.646482618956941
Yam,Borno,2024-03-01,1,2541.7419999999993,2291.1922770641395,9.857401850221613
Yam,Borno,2024-04-01,2,1499.9999999999995,2907.73549451511,93.84903296767406
Yam,Borno,2024-05-01,3,3250.0000000000027,2384.6510450127344,26.626121691915927
Yam,Borno,2024-06-01,1,3035.867142857145,3681.3750294235733,21.262718564124036
Yam,Borno,2024-08-01,2,3833.3333333333344,6101.250068248319,59.16304525865175
Yam,Borno,2024-09-01,3,3210.436666666664,5149.869409350638,60.41024770308429
Yam,Borno,2024-10-01,1,2951.830714285715,5064.939268589015,71.58637329968398
Yam,Borno,2024-11-01,2,3150.492500000002,4021.043694103202,27.632225568008796
Yam,Borno,2024-12-01,3,3388.888461538463,3280.4234532089026,3.2006072067748246
Beans (white),Yobe,2023-06-01,1,1155.6666666666667,1048.9833526160137,9.231322242629338
Beans (white),Yobe,2023-07-01,2,1399.9999999999995,1283.6627126763008,8.309806237407058
Beans (white),Yobe,2023-08-01,3,1333.066,1426.3371743820162,6.9967409252067165
Beans (white),Yobe,2023-09-01,1,1389.9639999999995,1445.9194376174214,4.025675313707545
Beans (white),Yobe,2023-10-01,2,1500.2820000000002,1542.6890990871036,2.826608536735324
Beans (white),Yobe,2023-12-01,3,1800.0,1175.2695271912867,34.70724848937296
Beans (white),Yobe,2024-01-01,1,2109.387142857143,1101.516896940449,47.78024030958794
Beans (white),Yobe,2024-02-01,2,2422.2142857142862,1081.5065957682245,55.350498832959396
Beans (white),Yobe,2024-03-01,3,2709.434999999999,1488.6232569196095,45.05779777261274
Beans (white),Yobe,2024-04-01,1,2910.90125,1532.4663010156685,47.354232610409966
Beans (white),Yobe,2024-05-01,2,3323.965999999998,1645.7161046053495,50.4893821234829
Beans (white),Yobe,2024-06-01,3,4597.846666666668,1690.985777824464,63.22222334894892
Beans (white),Yobe,2024-07-01,1,4782.187500000002,4515.752919822464,5.571395520931329
Beans (white),Yobe,2024-08-01,2,4580.967500000001,5423.82873310501,18.39919696232311
Beans (white),Yobe,2024-09-01,3,4540.978750000004,4410.451754803786,2.874424268032923
Beans (white),Yobe,2024-10-01,1,4509.578999999998,3704.541064080663,17.85173152348224
Beans (white),Yobe,2024-11-01,2,4056.444285714289,4616.069525168797,13.795955276037144
Beans (white),Yobe,2024-12-01,3,2827.415000000001,5046.949201037771,78.50047485203866
Rice (imported),Yobe,2023-06-01,1,2441.0,1561.7515065740893,36.02001202072555
Rice (imported),Yobe,2023-07-01,2,2349.999999999999,1550.9664580327787,34.00142731775407
Rice (imported),Yobe,2023-08-01,3,2457.6899999999996,1644.1579669887074,33.10149095334612
Rice (imported),Yobe,2023-09-01,1,2654.043333333333,2701.3449355204866,1.7822467927735501
Rice (imported),Yobe,2023-10-01,2,2955.504999999999,3046.214515077307,3.0691714301721027
Rice (imported),Yobe,2023-12-01,3,3444.3333333333335,2920.7714984647882,15.200672646914118
Rice (imported),Yobe,2024-01-01,1,3747.842500000001,2821.4882089399307,24.717001609861413
Rice (imported),Yobe,2024-02-01,2,4237.723999999998,2707.7652455840857,36.103312873040174
Rice (imported),Yobe,2024-03-01,3,4685.627142857144,3080.854098526408,34.248842159305845
Rice (imported),Yobe,2024-04-01,1,4680.475714285714,4105.58746181572,12.282688503549416
Rice (imported),Yobe,2024-05-01,2,4362.0966666666645,4130.4878320623575,5.309575928799694
Rice (imported),Yobe,2024-06-01,3,4559.051249999998,4025.379104945889,11.705772008027084
Rice (imported),Yobe,2024-07-01,1,5253.485000000002,5275.20296526363,0.4134011092375397
Rice (imported),Yobe,2024-08-01,2,5306.666666666668,6249.7846494533205,17.77232379623089
Rice (imported),Yobe,2024-09-01,3,5561.1399999999985,6431.424105019886,15.649383130435268
Rice (imported),Yobe,2024-10-01,1,5829.902500000006,4737.214823507808,18.742812190979112
Rice (imported),Yobe,2024-11-01,2,5736.295999999999,6086.46793966607,6.104495647819971
Rice (imported),Yobe,2024-12-01,3,5569.034999999995,6647.610009747267,19.36735915194056
Rice (local),Yobe,2023-06-01,1,1839.2499999999995,1259.4966939259243,31.52118015898194
Rice (local),Yobe,2023-07-01,2,1962.4999999999993,1242.4767611020088,36.68908223684029
Rice (local),Yobe,2023-08-01,3,2032.7800000000009,1365.0126835458054,32.84995505928803
Rice (local),Yobe,2023-09-01,1,2051.4650000000006,2037.0690205537155,0.7017414114442644
Rice (local),Yobe,2023-10-01,2,1986.5387500000006,2457.355106170461,23.700335881716896
Rice (local),Yobe,2023-12-01,3,2416.5,2195.1191084058273,9.161220425995145
Rice (local),Yobe,2024-01-01,1,2388.4075,1952.9741344558824,18.231116990886914
Rice (local),Yobe,2024-02-01,2,2951.329999999999,1902.7303492162787,35.5297323845087
Rice (local),Yobe,2024-03-01,3,3220.9374999999973,2211.533475453063,31.338826802660254
Rice (local),Yobe,2024-04-01,1,3388.1966666666667,2765.9419910091656,18.365364731607507
Rice (local),Yobe,2024-05-01,2,3341.5325000000025,2879.827584050302,13.81716071741634
Rice (local),Yobe,2024-06-01,3,3528.378333333336,2745.3333065239162,22.19277392709925
Rice (local),Yobe,2024-07-01,1,3887.7149999999997,3985.9946078929624,2.527952997916842
Rice (local),Yobe,2024-08-01,2,4260.216666666667,4595.34531747931,7.866469643077069
Rice (local),Yobe,2024-09-01,3,4231.077999999999,4671.974114182023,10.420420379440529
Rice (local),Yobe,2024-10-01,1,3676.8485714285716,3515.8976100001346,4.3774161024505425
Rice (local),Yobe,2024-11-01,2,3547.744999999999,4022.5517074448667,13.383338076577314
Rice (local),Yobe,2024-12-01,3,3806.634285714286,4520.67704880726,18.757850360689147
Tomatoes,Yobe,2023-06-01,1,121.14285714285708,94.0942727061723,22.32784092650867
Tomatoes,Yobe,2023-07-01,2,125.0,111.72627349774848,10.618981201801216
Tomatoes,Yobe,2023-08-01,3,129.0133333333333,93.70630733548899,27.36695896897813
Tomatoes,Yobe,2023-09-01,1,118.51749999999994,141.40663242385057,19.31287145261302
Tomatoes,Yobe,2023-10-01,2,150.24571428571429,142.15496517971317,5.385011575515136
Tomatoes,Yobe,2023-12-01,3,133.33333333333334,135.77126672557142,1.8284500441785596
Tomatoes,Yobe,2024-01-01,1,153.37799999999996,119.54671027544654,22.057459169211636
Tomatoes,Yobe,2024-02-01,2,146.10142857142858,128.3267506849848,12.165985001134874
Tomatoes,Yobe,2024-03-01,3,192.75333333333327,134.7720607620106,30.08055506415247
Tomatoes,Yobe,2024-04-01,1,194.81166666666667,147.20960596082188,24.434912713566842
Tomatoes,Yobe,2024-05-01,2,257.28000000000003,113.62064979660177,55.83774494846014
Tomatoes,Yobe,2024-06-01,3,300.99499999999995,145.79462139812935,51.56244409437719
Tomatoes,Yobe,2024-07-01,1,352.4174999999999,305.9235671891894,13.192855862949635
Tomatoes,Yobe,2024-08-01,2,172.41999999999996,317.31127452283874,84.03391400234244
Tomatoes,Yobe,2024-09-01,3,158.045,363.60632203624675,130.0650587087518
Tomatoes,Yobe,2024-10-01,1,158.06499999999997,211.73530965321726,33.954581756376996
Tomatoes,Yobe,2024-11-01,2,299.9999999999999,298.2015227645267,0.5994924118243908
Tomatoes,Yobe,2024-12-01,3,211.50000000000006,369.07497068339563,74.50353223801207
Yam,Yobe,2023-06-01,1,850.3749999999998,711.9550009163634,16.277524513730583
Yam,Yobe,2023-07-01,2,1599.9999999999995,649.8457038101006,59.384643511868695
Yam,Yobe,2023-08-01,3,1523.333333333333,679.5950859731595,55.387631117735694
Yam,Yobe,2023-09-01,1,1563.5799999999995,1090.6318254772373,30.247775906750046
Yam,Yobe,2023-10-01,2,1754.5457142857144,1351.128306724311,22.99269858156058
Yam,Yobe,2023-12-01,3,1477.666666666667,1116.5056161582256,24.44130727555434
Yam,Yobe,2024-01-01,1,2009.8600000000004,1552.2499162804297,22.76825668054345
Yam,Yobe,2024-02-01,2,1895.2599999999995,1452.0641508441254,23.384435336358823
Yam,Yobe,2024-03-01,3,2031.1083333333331,2146.757153497418,5.693877488764428
Yam,Yobe,2024-04-01,1,2385.23857142857,2232.4607947598843,6.405136094088233
Yam,Yobe,2024-05-01,2,2650.8083333333343,1561.9530380786346,41.076349487912154
Yam,Yobe,2024-06-01,3,3171.851666666666,1565.5519039981484,50.64233550229654
Yam,Yobe,2024-07-01,1,3313.7779999999993,2203.9645871782695,33.49087998114931
Yam,Yobe,2024-08-01,2,3274.1933333333313,3004.2211315800723,8.245456949801147
Yam,Yobe,2024-09-01,3,3227.053333333335,2588.6882496370317,19.781671319231467
Yam,Yobe,2024-10-01,1,3588.6225000000004,2786.4600039542424,22.35293614878015
Yam,Yobe,2024-11-01,2,3096.4259999999977,4000.045364738972,29.1826565446413
Yam,Yobe,2024-12-01,3,3291.834444444443,3049.10220920684,7.373768010941638
